2025-04-08 17:52:22 [http-nio-7072-exec-2] INFO  - Request => Method: [GET], URI: [/products/retrieve/2], IP: [0:0:0:0:0:0:0:1], Agent: [PostmanRuntime/7.43.3], Time: [2025-04-08T17:52:22.673719300]
2025-04-08 17:57:41 [http-nio-7072-exec-5] INFO  - Request => Method: [GET], URI: [/products/retrieve], IP: [0:0:0:0:0:0:0:1], Agent: [PostmanRuntime/7.43.3], Time: [2025-04-08T17:57:41.956359900]
2025-04-08 18:03:09 [http-nio-7072-exec-8] INFO  - Request => Method: [GET], URI: [/products/retrieve], IP: [0:0:0:0:0:0:0:1], Agent: [PostmanRuntime/7.43.3], Time: [2025-04-08T18:03:09.167408200]
2025-04-08 18:03:12 [http-nio-7072-exec-9] INFO  - Request => Method: [GET], URI: [/products/retrieve/1], IP: [0:0:0:0:0:0:0:1], Agent: [PostmanRuntime/7.43.3], Time: [2025-04-08T18:03:12.133226500]
2025-04-08 18:09:05 [http-nio-7072-exec-2] INFO  - Request => Method: [GET], URI: [/products/retrieve/1], IP: [0:0:0:0:0:0:0:1], Agent: [PostmanRuntime/7.43.3], Time: [2025-04-08T18:09:05.121707]
2025-04-08 18:09:07 [http-nio-7072-exec-3] INFO  - Request => Method: [GET], URI: [/products/retrieve/2], IP: [0:0:0:0:0:0:0:1], Agent: [PostmanRuntime/7.43.3], Time: [2025-04-08T18:09:07.772639700]
2025-04-08 18:09:09 [http-nio-7072-exec-4] INFO  - Request => Method: [GET], URI: [/products/retrieve/], IP: [0:0:0:0:0:0:0:1], Agent: [PostmanRuntime/7.43.3], Time: [2025-04-08T18:09:09.495444700]
2025-04-08 18:09:11 [http-nio-7072-exec-5] INFO  - Request => Method: [GET], URI: [/products/retrieve/2], IP: [0:0:0:0:0:0:0:1], Agent: [PostmanRuntime/7.43.3], Time: [2025-04-08T18:09:11.363720500]
2025-04-08 18:15:51 [http-nio-7072-exec-9] INFO  - Request => Method: [GET], URI: [/products/retrieve/2], IP: [0:0:0:0:0:0:0:1], Agent: [PostmanRuntime/7.43.3], Time: [2025-04-08T18:15:51.398580300]
2025-04-08 18:15:55 [http-nio-7072-exec-10] INFO  - Request => Method: [GET], URI: [/products/retrieve/-2], IP: [0:0:0:0:0:0:0:1], Agent: [PostmanRuntime/7.43.3], Time: [2025-04-08T18:15:55.983757700]
2025-04-08 18:16:00 [http-nio-7072-exec-2] INFO  - Request => Method: [GET], URI: [/products/retriev], IP: [0:0:0:0:0:0:0:1], Agent: [PostmanRuntime/7.43.3], Time: [2025-04-08T18:16:00.169766100]
